id,slug,year,shadow,details
5,concord-charlie,1979,1,
5,concord-charlie,1980,0,
5,concord-charlie,1981,0,
5,concord-charlie,1982,0,
5,concord-charlie,1983,0,
5,concord-charlie,1984,1,
5,concord-charlie,1985,0,
5,concord-charlie,1986,0,
5,concord-charlie,1987,0,
5,concord-charlie,1988,1,
5,concord-charlie,1989,0,
5,concord-charlie,1990,0,
5,concord-charlie,1991,1,
5,concord-charlie,1992,1,
5,concord-charlie,1993,0,
5,concord-charlie,1994,0,
5,concord-charlie,1995,1,
5,concord-charlie,1996,0,
5,concord-charlie,1997,1,
5,concord-charlie,1998,1,
5,concord-charlie,1999,0,
5,concord-charlie,2000,0,
5,concord-charlie,2001,1,
5,concord-charlie,2002,0,
5,concord-charlie,2003,1,
5,concord-charlie,2004,1,
5,concord-charlie,2005,1,
5,concord-charlie,2006,1,
5,concord-charlie,2007,0,
5,concord-charlie,2008,1,
5,concord-charlie,2009,1,
5,concord-charlie,2010,0,
5,concord-charlie,2011,0,
5,concord-charlie,2012,0,
5,concord-charlie,2013,1,
5,concord-charlie,2014,1,
5,concord-charlie,2015,0,
5,concord-charlie,2016,0,
5,concord-charlie,2017,0,
5,concord-charlie,2018,0,
5,concord-charlie,2019,0,
5,concord-charlie,2020,1,
5,concord-charlie,2021,0,
5,concord-charlie,2022,0,
5,concord-charlie,2023,0,
5,concord-charlie,2024,0,
