id,slug,year,shadow,details
15,holtsville-hal,1999,0,
15,holtsville-hal,2000,1,
15,holtsville-hal,2001,0,
15,holtsville-hal,2002,0,
15,holtsville-hal,2003,1,
15,holtsville-hal,2004,1,
15,holtsville-hal,2005,0,
15,holtsville-hal,2006,1,
15,holtsville-hal,2007,1,
15,holtsville-hal,2008,1,
15,holtsville-hal,2009,1,
15,holtsville-hal,2010,1,
15,holtsville-hal,2011,1,
15,holtsville-hal,2012,0,
15,holtsville-hal,2013,1,
15,holtsville-hal,2014,0,
15,holtsville-hal,2015,1,
15,holtsville-hal,2016,0,
15,holtsville-hal,2017,0,
15,holtsville-hal,2018,0,
15,holtsville-hal,2019,0,
15,holtsville-hal,2020,1,
15,holtsville-hal,2021,0,
15,holtsville-hal,2022,0,
15,holtsville-hal,2023,1,
15,holtsville-hal,2024,0,
