id,slug,year,shadow,details
11,malverne-mel,1996,1,
11,malverne-mel,1997,1,
11,malverne-mel,1998,0,
11,malverne-mel,1999,0,
11,malverne-mel,2000,0,
11,malverne-mel,2001,0,
11,malverne-mel,2002,1,
11,malverne-mel,2003,1,
11,malverne-mel,2004,1,
11,malverne-mel,2005,1,
11,malverne-mel,2006,0,
11,malverne-mel,2007,0,
11,malverne-mel,2008,0,
11,malverne-mel,2009,0,
11,malverne-mel,2010,1,
11,malverne-mel,2011,0,
11,malverne-mel,2012,1,
11,malverne-mel,2013,1,
11,malverne-mel,2014,0,
11,malverne-mel,2015,1,
11,malverne-mel,2016,0,
11,malverne-mel,2017,0,
11,malverne-mel,2018,1,
11,malverne-mel,2019,0,
11,malverne-mel,2020,1,
11,malverne-mel,2021,0,
11,malverne-mel,2022,1,
11,malverne-mel,2023,1,
11,malverne-mel,2024,0,
