id,slug,year,shadow,details
35,middlemiss-mike,2007,0.0,
35,middlemiss-mike,2008,,
35,middlemiss-mike,2009,0.0,
35,middlemiss-mike,2010,0.0,
35,middlemiss-mike,2011,0.0,
35,middlemiss-mike,2012,0.0,
35,middlemiss-mike,2013,0.0,
35,middlemiss-mike,2014,,
35,middlemiss-mike,2015,0.0,
35,middlemiss-mike,2016,0.0,
35,middlemiss-mike,2017,0.0,
35,middlemiss-mike,2018,0.0,
35,middlemiss-mike,2019,,
35,middlemiss-mike,2020,,
35,middlemiss-mike,2021,0.0,
35,middlemiss-mike,2022,0.0,
35,middlemiss-mike,2023,1.0,
35,middlemiss-mike,2024,,
