id,slug,year,shadow,details
21,poor-richard,2001,1.0,
21,poor-richard,2002,,
21,poor-richard,2003,,
21,poor-richard,2004,1.0,
21,poor-richard,2005,1.0,
21,poor-richard,2006,1.0,
21,poor-richard,2007,1.0,
21,poor-richard,2008,1.0,
21,poor-richard,2009,1.0,
21,poor-richard,2010,0.0,
21,poor-richard,2011,1.0,
21,poor-richard,2012,0.0,
21,poor-richard,2013,1.0,
21,poor-richard,2014,1.0,
21,poor-richard,2015,1.0,
21,poor-richard,2016,1.0,
21,poor-richard,2017,0.0,
21,poor-richard,2018,0.0,
21,poor-richard,2019,1.0,
21,poor-richard,2020,0.0,
21,poor-richard,2021,1.0,
21,poor-richard,2022,0.0,
21,poor-richard,2023,0.0,
21,poor-richard,2024,0.0,
