id,slug,year,shadow,details
1,punxsutawney-phil,1886,,Groundhog Day first recognized in Punxsutawney by Weathers Wags.
1,punxsutawney-phil,1887,1.0,First Official trek to Gobbler’s Knob. Saw Shadow.
1,punxsutawney-phil,1888,1.0,Saw Shadow.
1,punxsutawney-phil,1889,,No Record.
1,punxsutawney-phil,1890,0.0,No Shadow.
1,punxsutawney-phil,1891,,No Record.
1,punxsutawney-phil,1892,,No Record.
1,punxsutawney-phil,1893,,No Record.
1,punxsutawney-phil,1894,,No Record.
1,punxsutawney-phil,1895,,No Record.
1,punxsutawney-phil,1896,,No Record.
1,punxsutawney-phil,1897,,No Record.
1,punxsutawney-phil,1898,1.0,Saw Shadow.
1,punxsutawney-phil,1899,,No Record. Groundhog Club founded.
1,punxsutawney-phil,1900,1.0,Saw Shadow.
1,punxsutawney-phil,1901,1.0,Saw Shadow.
1,punxsutawney-phil,1902,0.0,Probably No Shadow.
1,punxsutawney-phil,1903,1.0,Saw Shadow.
1,punxsutawney-phil,1904,1.0,Saw Shadow.
1,punxsutawney-phil,1905,1.0,Saw Shadow.
1,punxsutawney-phil,1906,1.0,Saw Shadow.
1,punxsutawney-phil,1907,1.0,Saw Shadow.
1,punxsutawney-phil,1908,1.0,Saw Shadow; First front page coverage
1,punxsutawney-phil,1909,1.0,Saw Shadow.
1,punxsutawney-phil,1910,1.0,Saw Shadow.
1,punxsutawney-phil,1911,1.0,Saw Shadow; “55 couples at Groundhog Day Dance.”
1,punxsutawney-phil,1912,1.0,Saw Shadow.
1,punxsutawney-phil,1913,1.0,Saw Shadow at 8:80 am. First newspaper photo of Groundhog by John Frampton. A new dance “The Groundhog Roll” was demonstrated by Joe Winslow.
1,punxsutawney-phil,1914,1.0,"Saw Shadow at 9:34 AM, Groundhog demonstrated “The Groundhog Flop”"
1,punxsutawney-phil,1915,1.0,Saw Shadow at 11:45 AM
1,punxsutawney-phil,1916,1.0,Saw Shadow at 9:07; First films of the event. 
1,punxsutawney-phil,1917,1.0,Saw Shadow at 9:07.
1,punxsutawney-phil,1918,1.0,Saw Shadow; Temperature 18 below zero.
1,punxsutawney-phil,1919,1.0,Saw Shadow.
1,punxsutawney-phil,1920,1.0,Saw Shadow.
1,punxsutawney-phil,1921,1.0,Saw Shadow at 7:17 AM.
1,punxsutawney-phil,1922,1.0,Saw Shadow 7:11 AM; Groundhog Holiday Dance.
1,punxsutawney-phil,1923,1.0,Saw Shadow.
1,punxsutawney-phil,1924,1.0,Saw Shadow 7:13 AM; First appearance of logo with groundhog with umbrella and newspaper.
1,punxsutawney-phil,1925,1.0,Saw Shadow 8:13 AM; CJ Margiotti gave groundhog tradition to the Pittsburgh Travel Club.
1,punxsutawney-phil,1926,1.0,Saw Shadow at 9:17 AM.
1,punxsutawney-phil,1927,1.0,Saw Shadow at 8:35 AM.
1,punxsutawney-phil,1928,1.0,Saw Shadow at 10 AM; Program with Punx’y Rotary Club was on KDKA Radio.
1,punxsutawney-phil,1929,1.0,Predicted six more weeks of winter before sunrise.
1,punxsutawney-phil,1930,1.0,Saw Shadow at 7:11 AM.
1,punxsutawney-phil,1931,1.0,Saw Shadow at 12:27 AM.
1,punxsutawney-phil,1932,1.0,Saw Shadow at 9:11 AM.
1,punxsutawney-phil,1933,1.0,Saw Shadow.
1,punxsutawney-phil,1934,0.0,No Shadow.
1,punxsutawney-phil,1935,1.0,Saw Shadow at 9:11 AM.
1,punxsutawney-phil,1936,1.0,Saw Shadow at 10:27 AM.
1,punxsutawney-phil,1937,1.0,Saw Shadow at 9:09 AM; Unfortunate meeting with a skunk.
1,punxsutawney-phil,1938,1.0,Saw Shadow at 9 AM; Blackest shadow in history.
1,punxsutawney-phil,1939,1.0,Saw Shadow at 9:10 AM.
1,punxsutawney-phil,1940,1.0,"Saw Shadow at 9 AM; Pictured with first Groundhog Day Queen, Miss Margaret Hunam."
1,punxsutawney-phil,1941,1.0,Saw Shadow at 4:25 PM; Six Groundhog Girls.
1,punxsutawney-phil,1942,1.0,"Partial Shadow at 7:40 AM; “War clouds have blacked out parts of the shadow.” (“The Spirit,” Feb. 2, 1942)."
1,punxsutawney-phil,1943,0.0,Groundhog didn’t make an appearance; relied on Quarryville’s prediction - NO Shadow
1,punxsutawney-phil,1944,1.0,Saw Shadow at 9:10 AM.
1,punxsutawney-phil,1945,1.0,Saw Shadow at 9 AM.
1,punxsutawney-phil,1946,1.0,Saw Shadow at 7:52 AM.
1,punxsutawney-phil,1947,1.0,Saw Shadow at 7:37 AM; First newspaper photo of Groundhog Club members at Gobbler’s Knob.
1,punxsutawney-phil,1948,1.0,Saw Shadow at 8:46 AM; Dr. Frank Lorenzo was interviewed on KDKA Radio’s “Brunch With Bill” program.
1,punxsutawney-phil,1949,1.0,Saw Shadow at 7:32 AM.
1,punxsutawney-phil,1950,0.0,"No Shadow; Colleen Townsend, actress, was in town to promote the film, “When Willie Comes Marching Home.”"
1,punxsutawney-phil,1951,1.0,"Saw Shadow at 8:41 AM; Pictured with cheerleaders from PHS and SSCD. Betty Byers, Joan Wadding, Dorothy Armstrong and Kathleen Spinelli."
1,punxsutawney-phil,1952,1.0,"Saw Shadow at 7:52 AM; First appearance of Frau Gourndhog, Groundhog procession and shadow. Casting was on Dave Garroway’s TV Show on NBC on Monday, February 4."
1,punxsutawney-phil,1953,1.0,Saw Shadow at 7:38 AM; First year with Sam Light as Groundhog Club president; First Man-of-the-Year Award goes to Ben Levy.
1,punxsutawney-phil,1954,1.0,Saw Shadow at 8:03 AM; The groundhog was turned completely white from worry.
1,punxsutawney-phil,1955,1.0,Saw Shadow at 8:51 AM; 4-inch snowfall on Groundhog Day; Coverage on three TV stations.
1,punxsutawney-phil,1956,1.0,Saw Shadow 8:33 AM.
1,punxsutawney-phil,1957,1.0,Saw Shadow 7:47 AM.
1,punxsutawney-phil,1958,1.0,Saw Shadow at 8:27 AM; Prepared for blast-off in his “Chucknik” spacecraft; First Woman-of-the-Year Award was given to Mrs. Louis (Olive) Woodring.
1,punxsutawney-phil,1959,1.0,Saw Shadow at 8:23 AM; Announces that he has returned from a successful trip to the moon.
1,punxsutawney-phil,1960,1.0,"Saw Shadow at 7:33 AM, forecasts extremely bad weather; appearance on the “Today” show."
1,punxsutawney-phil,1961,1.0,Saw Shadow at 7:41 AM; 25 below zero.
1,punxsutawney-phil,1962,1.0,Saw Shadow at 7:29 AM; Just returned from second trip to the moon.
1,punxsutawney-phil,1963,1.0,Saw Shadow at 7:41 AM; Unusually dark shadow
1,punxsutawney-phil,1964,1.0,Saw Shadow.
1,punxsutawney-phil,1965,1.0,Saw Shadow shortly before 8 AM.
1,punxsutawney-phil,1966,1.0,Saw Shadow at 7:21 AM.
1,punxsutawney-phil,1967,1.0,Saw Shadow 7:25 AM.
1,punxsutawney-phil,1968,1.0,Saw Shadow 7:29 AM.
1,punxsutawney-phil,1969,1.0,Saw Shadow 7:29 AM.
1,punxsutawney-phil,1970,0.0,No Shadow.
1,punxsutawney-phil,1971,1.0,Saw Shadow at 7:29 AM; 14 below zero.
1,punxsutawney-phil,1972,1.0,Saw Shadow 7:30 AM.
1,punxsutawney-phil,1973,1.0,Saw Shadow 7:29 AM.
1,punxsutawney-phil,1974,1.0,Saw Shadow 8:28 AM.
1,punxsutawney-phil,1975,0.0,No Shadow; Declared at 7:31 AM.
1,punxsutawney-phil,1976,1.0,Saw Shadow at 7:29 AM.
1,punxsutawney-phil,1977,1.0,Saw Shadow at 7:27; In midst of energy crisis.
1,punxsutawney-phil,1978,1.0,Saw Shadow at 7:28 AM.
1,punxsutawney-phil,1979,1.0,Saw Shadow at 7:28 AM.
