id,slug,year,shadow,details
16,shubenacadie-sam,1999,1,Shadow (Long Winter)
16,shubenacadie-sam,2000,1,Shadow (Long Winter)
16,shubenacadie-sam,2001,0,No Shadow (Early Spring)
16,shubenacadie-sam,2002,0,No Shadow (Early Spring)
16,shubenacadie-sam,2003,0,No Shadow (Early Spring)
16,shubenacadie-sam,2004,0,No Shadow (Early Spring)
16,shubenacadie-sam,2005,1,Shadow (Long Winter)
16,shubenacadie-sam,2006,0,No Shadow (Early Spring)
16,shubenacadie-sam,2007,0,No Shadow (Early Spring)
16,shubenacadie-sam,2008,0,No Shadow (Early Spring)
16,shubenacadie-sam,2009,1,Shadow (Long Winter)
16,shubenacadie-sam,2010,1,Shadow (Long Winter)
16,shubenacadie-sam,2011,0,No Shadow (Early Spring)
16,shubenacadie-sam,2012,0,No Shadow (Early Spring)
16,shubenacadie-sam,2013,1,Shadow (Long Winter)
16,shubenacadie-sam,2014,0,No Shadow (Early Spring)
16,shubenacadie-sam,2015,1,Shadow (Long Winter)
16,shubenacadie-sam,2016,0,No Shadow (Early Spring)
16,shubenacadie-sam,2017,0,No Shadow (Early Spring)
16,shubenacadie-sam,2018,0,No Shadow (Early Spring)
16,shubenacadie-sam,2019,1,Shadow (Long Winter)
16,shubenacadie-sam,2020,1,Shadow (Long Winter)
16,shubenacadie-sam,2021,0,No Shadow (Early Spring)
16,shubenacadie-sam,2022,1,Shadow (Long Winter)
16,shubenacadie-sam,2023,1,Shadow (Long Winter)
16,shubenacadie-sam,2024,0,No Shadow (Early Spring)
