id,slug,year,shadow,details
50,snowy-the-prairie-dog,2015,0.0,Snowy DID NOT see her shadow and winter was a no-show during the 2nd half of the season. Accuracy Score: Excellent
50,snowy-the-prairie-dog,2016,0.0,Snowy DID NOT see her shadow and the 2nd half of winter was mild. Accuracy Score: Excellent
50,snowy-the-prairie-dog,2017,1.0,Snowy DID see her shadow and winter did indeed continue. Accuracy Score: Excellent
50,snowy-the-prairie-dog,2018,0.0,"Snowy DID NOT see her shadow, but winter weather intensified & persisted into spring. Accuracy Score: Poor"
50,snowy-the-prairie-dog,2019,0.0,"Snowy DID NOT see her shadow, but instead of an early spring, we got snow and Arctic air! Accuracy Score: Very Poor!"
50,snowy-the-prairie-dog,2020,1.0,"Snowy SAW her shadow. A wintry pattern continued, but there were also some nice spring-like days! Her Score: Fair"
50,snowy-the-prairie-dog,2021,0.0,Snowy DID NOT see her shadow and an early spring arrived after some brief cold weather. Accuracy Score: Excellent!
50,snowy-the-prairie-dog,2022,1.0,Snowy DID see her shadow and a mixed bag of wintry weather continued. Accuracy Score: Fair
50,snowy-the-prairie-dog,2023,0.0,Snowy DID NOT see her shadow in contradiction to Punxsutawney Phil’s result... Accuracy Score: Stay tuned!
50,snowy-the-prairie-dog,2024,,
