id,slug,year,shadow,details
3,wiarton-willie,1955,0.0,"No Shadow, Early Spring!"
3,wiarton-willie,1956,0.0,"No Shadow, Early Spring!"
3,wiarton-willie,1957,,No record
3,wiarton-willie,1958,,No record
3,wiarton-willie,1959,0.0,"No Shadow, Early Spring!"
3,wiarton-willie,1960,1.0,"Shadow, Six More Weeks of Winter!"
3,wiarton-willie,1961,1.0,"Shadow, Six More Weeks of Winter!"
3,wiarton-willie,1962,1.0,"Shadow, Six More Weeks of Winter!"
3,wiarton-willie,1963,,No record
3,wiarton-willie,1964,,No record
3,wiarton-willie,1965,,No record
3,wiarton-willie,1966,1.0,"Shadow, Six More Weeks of Winter!"
3,wiarton-willie,1967,,No record
3,wiarton-willie,1968,0.0,"No Shadow, Early Spring!"
3,wiarton-willie,1969,1.0,"Shadow, Six More Weeks of Winter!"
3,wiarton-willie,1970,0.0,"No Shadow, Early Spring!"
3,wiarton-willie,1971,0.0,"No Shadow, Early Spring!"
3,wiarton-willie,1972,0.0,"No Shadow, Early Spring!"
3,wiarton-willie,1973,1.0,"Shadow, Six More Weeks of Winter!"
3,wiarton-willie,1974,1.0,"Shadow, Six More Weeks of Winter!"
3,wiarton-willie,1975,1.0,"Shadow, Six More Weeks of Winter!"
3,wiarton-willie,1976,1.0,"Shadow, Six More Weeks of Winter!"
3,wiarton-willie,1977,,No record
3,wiarton-willie,1978,1.0,"Shadow, Six More Weeks of Winter!"
3,wiarton-willie,1979,1.0,"Shadow, Six More Weeks of Winter!"
3,wiarton-willie,1980,0.0,"No Shadow, Early Spring!"
3,wiarton-willie,1981,,No record
3,wiarton-willie,1982,,No record
3,wiarton-willie,1983,0.0,"No Shadow, Early Spring!"
3,wiarton-willie,1984,0.0,"No Shadow, Early Spring!"
3,wiarton-willie,1985,0.0,"No Shadow, Early Spring!"
3,wiarton-willie,1986,0.0,"No Shadow, Early Spring!"
3,wiarton-willie,1987,0.0,"No Shadow, Early Spring!"
3,wiarton-willie,1988,0.0,"No Shadow, Early Spring!"
3,wiarton-willie,1989,1.0,"Shadow, Six More Weeks of Winter!"
3,wiarton-willie,1990,0.0,"No Shadow, Early Spring!"
3,wiarton-willie,1991,1.0,"Shadow, Six More Weeks of Winter!"
3,wiarton-willie,1992,0.0,"No Shadow, Early Spring!"
3,wiarton-willie,1993,1.0,"Shadow, Six More Weeks of Winter!"
3,wiarton-willie,1994,1.0,"Shadow, Six More Weeks of Winter!"
3,wiarton-willie,1995,1.0,"Shadow, Six More Weeks of Winter!"
3,wiarton-willie,1996,0.0,"No Shadow, Early Spring!"
3,wiarton-willie,1997,0.0,"No Shadow, Early Spring!"
3,wiarton-willie,1998,0.0,"No Shadow, Early Spring!"
3,wiarton-willie,1999,0.0,"No Shadow, Early Spring!"
3,wiarton-willie,2000,1.0,"Shadow, Six More Weeks of Winter!"
3,wiarton-willie,2001,0.0,"No Shadow, Early Spring!"
3,wiarton-willie,2002,0.0,"No Shadow, Early Spring!"
3,wiarton-willie,2003,0.0,"No Shadow, Early Spring!"
3,wiarton-willie,2004,1.0,"Shadow, Six More Weeks of Winter!"
3,wiarton-willie,2005,0.0,"No Shadow, Early Spring!"
3,wiarton-willie,2006,0.0,"No Shadow, Early Spring!"
3,wiarton-willie,2007,0.0,"No Shadow, Early Spring!"
3,wiarton-willie,2008,0.0,"No Shadow, Early Spring!"
3,wiarton-willie,2009,1.0,"Shadow, Six More Weeks of Winter!"
3,wiarton-willie,2010,1.0,"Shadow, Six More Weeks of Winter!"
3,wiarton-willie,2011,0.0,"No Shadow, Early Spring!"
3,wiarton-willie,2012,0.0,"No Shadow, Early Spring!"
3,wiarton-willie,2013,0.0,"No Shadow, Early Spring!"
3,wiarton-willie,2014,1.0,"Shadow, Six More Weeks of Winter!"
3,wiarton-willie,2015,0.0,"No Shadow, Early Spring!"
3,wiarton-willie,2016,1.0,"Shadow, Six More Weeks of Winter!"
3,wiarton-willie,2017,1.0,"Shadow, Six More Weeks of Winter!"
3,wiarton-willie,2018,1.0,"Shadow, Six More Weeks of Winter!"
3,wiarton-willie,2019,0.0,"No Shadow, Early Spring!"
3,wiarton-willie,2020,1.0,"Shadow, Six More Weeks of Winter!"
3,wiarton-willie,2021,0.0,"No Shadow, Early Spring!"
3,wiarton-willie,2022,0.0,"No Shadow, Early Spring!"
3,wiarton-willie,2023,0.0,"No Shadow, Early Spring!"
3,wiarton-willie,2024,0.0,"No Shadow, Early Spring!"
